contract_id,event_family_id,source,market_id,title,structural_theme,decision,decision_reason,decided_by,decided_at,quality_score,gates_passed,auto_recommendation
polymarket::electoral_will_nigel_farage_win_election_to_uk_parliament_2024,electoral_will_nigel_farage_win_election_to_uk_parliament_2024,polymarket,,Will Nigel Farage win election to UK parliament?,electoral,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::electoral_will_u_s_supreme_court_vote_to_reinstate_trump_on_colorado_s_2024_ballot_2024,electoral_will_u_s_supreme_court_vote_to_reinstate_trump_on_colorado_s_2024_ballot_2024,polymarket,,Will U.S. Supreme Court vote to reinstate Trump on Colorado's 2024 ballot?,electoral,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::fiscal_debt_us_debt_ceiling_hike_by_july_1_2023,fiscal_debt_us_debt_ceiling_hike_by_july_1_2023,polymarket,,US debt ceiling hike by July 1?,fiscal_debt,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::geopolitical_another_iran_strike_on_israel_in_october_2024,geopolitical_another_iran_strike_on_israel_in_october_2024,polymarket,,Another Iran strike on Israel in October?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::geopolitical_israel_military_action_against_iran_by_end_of_2024_2024,geopolitical_israel_military_action_against_iran_by_end_of_2024_2024,polymarket,,Israel military action against Iran by end of 2024?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::geopolitical_israel_x_hamas_ceasefire_in_2024_2025,geopolitical_israel_x_hamas_ceasefire_in_2024_2025,polymarket,,Israel x Hamas ceasefire in 2024?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::geopolitical_israel_x_hezbollah_ceasefire_in_2024_2024,geopolitical_israel_x_hezbollah_ceasefire_in_2024_2024,polymarket,,Israel x Hezbollah Ceasefire in 2024?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::geopolitical_will_israel_invade_syria_in_2024_2024,geopolitical_will_israel_invade_syria_in_2024_2024,polymarket,,Will Israel invade Syria in 2024?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::geopolitical_will_ukraine_sever_the_land_bridge_between_crimea_and_russia_before_nov_1_2023,geopolitical_will_ukraine_sever_the_land_bridge_between_crimea_and_russia_before_nov_1_2023,polymarket,,Will Ukraine sever the land bridge between Crimea and Russia before Nov 1?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_fed_decreases_interest_rates_by_50_bps_after_december_2024_meeting_2024,monetary_policy_fed_decreases_interest_rates_by_50_bps_after_december_2024_meeting_2024,polymarket,,Fed decreases interest rates by 50 bps after December 2024 meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_fed_decreases_interest_rates_by_50_bps_after_november_2024_meeting_2024,monetary_policy_fed_decreases_interest_rates_by_50_bps_after_november_2024_meeting_2024,polymarket,,Fed decreases interest rates by 50 bps after November 2024 meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_fed_emergency_rate_cut_in_2024_2025,monetary_policy_fed_emergency_rate_cut_in_2024_2025,polymarket,,Fed emergency rate cut in 2024?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_fed_rate_cut_by_july_31_2024,monetary_policy_fed_rate_cut_by_july_31_2024,polymarket,,Fed rate cut by July 31?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_fed_rate_cut_by_june_12_2024,monetary_policy_fed_rate_cut_by_june_12_2024,polymarket,,Fed rate cut by June 12?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_fed_rate_cut_by_march_20_2024,monetary_policy_fed_rate_cut_by_march_20_2024,polymarket,,Fed rate cut by March 20?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_fed_rate_cut_by_may_1_2024,monetary_policy_fed_rate_cut_by_may_1_2024,polymarket,,Fed rate cut by May 1?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_increase_in_ecb_interest_rates_after_2024_december_meeting_2024,monetary_policy_increase_in_ecb_interest_rates_after_2024_december_meeting_2024,polymarket,,Increase in ECB interest rates after 2024 December meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_no_change_in_fed_interest_rates_after_2024_september_meeting_2024,monetary_policy_no_change_in_fed_interest_rates_after_2024_september_meeting_2024,polymarket,,No change in Fed interest rates after 2024 September meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_decrease_interest_rates_by_25_bps_after_its_january_meeting_2024,monetary_policy_will_the_fed_decrease_interest_rates_by_25_bps_after_its_january_meeting_2024,polymarket,,Will the Fed decrease interest rates by 25 bps after its January meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_increase_interest_rates_by_0_bps_after_its_june_meeting_2023,monetary_policy_will_the_fed_increase_interest_rates_by_0_bps_after_its_june_meeting_2023,polymarket,,Will the Fed increase interest rates by 0 bps after its June meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_increase_interest_rates_by_25_bps_after_its_march_meeting_2023,monetary_policy_will_the_fed_increase_interest_rates_by_25_bps_after_its_march_meeting_2023,polymarket,,Will the Fed increase interest rates by 25 bps after its March meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_increase_interest_rates_by_25_bps_after_its_may_meeting_2023,monetary_policy_will_the_fed_increase_interest_rates_by_25_bps_after_its_may_meeting_2023,polymarket,,Will the Fed increase interest rates by 25 bps after its May meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_increase_interest_rates_by_50_bps_after_its_february_meeting_2023,monetary_policy_will_the_fed_increase_interest_rates_by_50_bps_after_its_february_meeting_2023,polymarket,,Will the Fed increase interest rates by 50 bps after its February meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_raise_interest_rates_by_0_bps_after_its_december_meeting_2023,monetary_policy_will_the_fed_raise_interest_rates_by_0_bps_after_its_december_meeting_2023,polymarket,,Will the Fed raise interest rates by 0 bps after its December meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_raise_interest_rates_by_0_bps_after_its_september_meeting_2023,monetary_policy_will_the_fed_raise_interest_rates_by_0_bps_after_its_september_meeting_2023,polymarket,,Will the Fed raise interest rates by 0 bps after its September meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_2024_march_meeting_2024,monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_2024_march_meeting_2024,polymarket,,Will the Fed raise interest rates by 25+ bps after its 2024 March meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_july_meeting_2023,monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_july_meeting_2023,polymarket,,Will the Fed raise interest rates by 25 bps after its July meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_november_meeting_2023,monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_november_meeting_2023,polymarket,,Will the Fed raise interest rates by 25 bps after its November meeting?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::monetary_policy_will_the_fed_raise_rates_again_in_2023_2024,monetary_policy_will_the_fed_raise_rates_again_in_2023_2024,polymarket,,Will the Fed raise rates again in 2023?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::trade_technology_will_the_ethereum_merge_eip_3675_occur_by_october_1_2022_2022,trade_technology_will_the_ethereum_merge_eip_3675_occur_by_october_1_2022_2022,polymarket,,"Will the Ethereum Merge (EIP-3675) occur by October 1, 2022?",trade_technology,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
