title,theme,total_volume_usd,drop_reason
Will the Fed increase interest rates by 25 bps after its June meeting?,monetary_policy,141462.93,VARIANT_DUPLICATE
"Will Jerome Powell say ""inflation"" 40 or more times during December FOMC Press Conference?",monetary_policy,138906.98,VARIANT_DUPLICATE
1-25 bps decrease in ECB interest rates after 2024 December meeting?,monetary_policy,133816.72,VARIANT_DUPLICATE
Will the Fed increase interest rates by 50 bps after its March meeting?,monetary_policy,131282.01,VARIANT_DUPLICATE
Will the Fed increase interest rates by 0 bps after its March meeting?,monetary_policy,119684.59,VARIANT_DUPLICATE
Will the Fed raise interest rates by 0 bps after its July meeting?,monetary_policy,90868.7,VARIANT_DUPLICATE
"Will Jerome Powell say ""cut"" 7 or more times during December FOMC Press Conference?",monetary_policy,87622.85,VARIANT_DUPLICATE
No change in Fed raise interest rates after its 2024 March meeting?,monetary_policy,63023.46,VARIANT_DUPLICATE
Will the Fed increase interest rates by 0 bps after its May meeting?,monetary_policy,59840.96,VARIANT_DUPLICATE
Will the Fed raise interest rates by 25 bps after its September meeting?,monetary_policy,33764.27,VARIANT_DUPLICATE
Will the Fed decrease interest rates by 25 bps after its March meeting?,monetary_policy,29991.06,VARIANT_DUPLICATE
Will the Fed raise interest rates by 25 bps after its December meeting?,monetary_policy,27152.23,VARIANT_DUPLICATE
Will the Fed increase interest rates by 25 bps after its February meeting?,monetary_policy,26746.53,VARIANT_DUPLICATE
Will the Fed raise interest rates by 0 bps after its November meeting?,monetary_policy,19162.75,VARIANT_DUPLICATE
Will the Fed decrease interest rates by 25 bps after its July meeting?,monetary_policy,17999.66,VARIANT_DUPLICATE
Will the Fed increase interest rates by 50 bps after its May meeting?,monetary_policy,17386.71,VARIANT_DUPLICATE
Will the Fed decrease interest rates by 50+ bps after its March 2024 meeting?,monetary_policy,13322.49,VARIANT_DUPLICATE
Will the Fed raise interest rates by 25 bps after its January meeting?,monetary_policy,13148.33,VARIANT_DUPLICATE
Will the Fed increase interest rates by 0 bps after its February meeting?,monetary_policy,11578.31,VARIANT_DUPLICATE
Will the Fed raise interest rates by 0 bps after its January meeting?,monetary_policy,11073.9,VARIANT_DUPLICATE
Will the Fed decrease interest rates by 25 bps after its May meeting?,monetary_policy,9782.96,LOW_LIQUIDITY
Will the Fed decrease interest rates by 25 bps after its 2024 March meeting?,monetary_policy,8974.82,LOW_LIQUIDITY
Will the Fed increase interest rates by 75 bps after its February meeting?,monetary_policy,5413.84,LOW_LIQUIDITY
